metric,variant,n,mean_a,mean_b,median_a,median_b,delta_mean,delta_median,ci95_low,ci95_high,W,p,d_z,rank_biserial,pct_improved,pct_unchanged,pct_worse,rel_change_mean
UFR,bm25,110,0.1252111777111777,0.13410236228418046,0.1111111111111111,0.1111111111111111,0.008891184573002756,0.0,-0.018826489798080707,0.036851452840089186,1422.0,0.5549572122042081,0.060095581649113446,-0.07692307692307693,31.818181818181817,29.09090909090909,39.09090909090909,7.100951157501195
UFR,chunk3,110,0.1252111777111777,0.11996392496392495,0.1111111111111111,0.0,-0.00524725274725275,0.0,-0.03276362021816567,0.022399619320073852,1335.0,0.6345419925404001,-0.03533644697593466,0.06315789473684211,38.18181818181819,31.818181818181817,30.0,-4.190722300653136
UFR,chunk8,110,0.1252111777111777,0.13610843701752792,0.1111111111111111,0.1,0.01089725930635022,0.0,-0.016936771561771556,0.03880725082997809,1852.0,0.43143674676382526,0.07286737296622309,-0.09548229548229548,39.09090909090909,18.181818181818183,42.72727272727273,8.703104232025291
UFR,nocite,110,0.1252111777111777,0.14570745653633355,0.1111111111111111,0.1213235294117647,0.02049627882515583,0.0,-0.0023015952036673924,0.04328148741484303,1563.0,0.10023086748543726,0.16682632364413716,-0.2017364657814096,33.63636363636363,20.0,46.36363636363636,16.369368294286176
UFR,top2,110,0.1252111777111777,0.12799319367501183,0.1111111111111111,0.1111111111111111,0.0027820159638341463,0.0,-0.025770582952401127,0.031337225905407724,1598.0,0.9159423773072117,0.018204147363980974,0.013580246913580247,39.09090909090909,27.27272727272727,33.63636363636363,2.2218591140891166
UFR,top5,110,0.1252111777111777,0.12460382383510724,0.1111111111111111,0.10555555555555556,-0.0006073538760704509,0.0,-0.026547950378498504,0.024879979033889457,1779.5,0.9804274989097921,-0.004392249836078462,-0.0030812324929971988,35.45454545454545,23.636363636363637,40.909090909090914,-0.4850636238494961
CR,bm25,110,0.05609077790895973,0.06216646989374262,0.0,0.0,0.006075691984782893,0.0,-0.01038546176046176,0.022932269119769116,457.5,0.6611711371308997,0.06817350792161594,-0.07575757575757576,19.090909090909093,60.0,20.909090909090907,10.831891108096722
CR,chunk3,110,0.05609077790895973,0.06267676767676768,0.0,0.0,0.00658598976780795,0.0,-0.012277597402597405,0.026576930014430015,548.5,0.5239981239960936,0.06244735608257265,-0.10448979591836735,20.909090909090907,55.45454545454545,23.636363636363637,11.741662378970016
CR,chunk8,110,0.05609077790895973,0.0487396189668917,0.0,0.0,-0.00735115894206803,0.0,-0.024367401537856083,0.00915139342980252,537.5,0.23897185916444297,-0.08308168289871624,0.18929110105580693,26.36363636363636,53.63636363636364,20.0,-13.105824551051171
CR,nocite,110,0.05609077790895973,0.038745361887073115,0.0,0.0,-0.01734541602188661,0.0,-0.03448435276844368,-0.0015798472175477566,307.5,0.04546774196480914,-0.20049430118284353,0.3498942917547569,24.545454545454547,60.909090909090914,14.545454545454545,-30.923828601628152
CR,top2,110,0.05609077790895973,0.06743789039243583,0.0,0.0,0.011347112483476121,0.0,-0.006823629022492658,0.029699420528965972,487.0,0.299960658108676,0.11624300694737445,-0.1717687074829932,18.181818181818183,56.36363636363636,25.454545454545453,20.229907493694363
CR,top5,110,0.05609077790895973,0.045015707702873484,0.0,0.0,-0.01107507020608625,0.0,-0.026450884064687537,0.004054449672430946,489.5,0.15286257159356614,-0.1359898433528161,0.23215686274509803,24.545454545454547,54.54545454545454,20.909090909090907,-19.74490391996713
coverage_ref,bm25,110,0.34257054813872995,0.34948553971281243,0.3333333333333333,0.3333333333333333,0.006914991574082485,0.0,-0.028350635475635478,0.0423688385478158,1578.0,0.5678447967320752,0.036201289565227245,-0.07258301498677637,36.36363636363637,25.454545454545453,38.18181818181819,2.0185598591745073
coverage_ref,chunk3,110,0.34257054813872995,0.2803236536191081,0.3333333333333333,0.25,-0.06224689451962179,0.0,-0.09928419970181336,-0.025024964303373403,779.0,0.0010396431474369435,-0.314353083830385,0.4385585585585586,47.27272727272727,32.72727272727273,20.0,-18.17053300636162
coverage_ref,chunk8,110,0.34257054813872995,0.3865274498229043,0.3333333333333333,0.375,0.043956901684174404,0.0,0.008551087170405352,0.07851494055187236,1028.5,0.024412519544727142,0.2391431765430204,-0.29699248120300753,20.909090909090907,30.909090909090907,48.18181818181818,12.831488848940179
