condition,coverage_at_0_5,coverage_at_0_6,coverage_at_0_7,mean_best_similarity,n_claims,p_cov06_E1_vs_E0,p_cov06_E2_vs_E0,p_cov06_E2_vs_E1
E0,0.3068887073700046,0.16733233178104753,0.06807734886335377,0.41066605389118194,10.44,0.009819899644928687,0.2439075391529687,0.00021358982899499248
E1,0.23673315284306592,0.1343880161903491,0.048251811702263975,0.37783859312534335,8.94,0.009819899644928687,0.2439075391529687,0.00021358982899499248
E2,0.2948923728852598,0.18345113190812384,0.14652154793055908,0.45529932022094727,4.84,0.009819899644928687,0.2439075391529687,0.00021358982899499248
