metric,variant,n,mean_a,mean_b,median_a,median_b,delta_mean,delta_median,ci95_low,ci95_high,W,p,d_z,rank_biserial,pct_improved,pct_unchanged,pct_worse,rel_change_mean
UFR,bm25,110,0.06614453728090093,0.07343499934409024,0.0,0.0,0.007290462063189335,0.0,-0.01440089455998547,0.029405279695052418,843.0,0.5958681307409708,0.06190964681658207,-0.07868852459016394,27.27272727272727,45.45454545454545,27.27272727272727,11.02201687832264
UFR,chunk3,110,0.06614453728090093,0.07501803751803753,0.0,0.0,0.0088735002371366,0.0,-0.014023291733519006,0.03219002840593748,877.0,0.48525323979803203,0.07128083491055777,-0.10189452124935997,27.27272727272727,43.63636363636363,29.09090909090909,13.415318334532813
UFR,chunk8,110,0.06614453728090093,0.0634321360457724,0.0,0.0,-0.0027124012351285084,0.0,-0.022820214507714504,0.017547187345482794,1105.5,0.8341778475060873,-0.02494656239597364,0.029411764705882353,31.818181818181817,39.09090909090909,29.09090909090909,-4.100718436670854
UFR,nocite,110,0.06614453728090093,0.09614107223732893,0.0,0.09090909090909091,0.029996534956428008,0.0,0.010197029389208535,0.0511221421552304,1091.0,0.016816547389503483,0.27230735539655115,-0.30949367088607593,24.545454545454547,28.18181818181818,47.27272727272727,45.349980798927476
UFR,top2,110,0.06614453728090093,0.08412968344786524,0.0,0.0,0.017985146166964346,0.0,-0.00765596840028658,0.045032712867940104,951.0,0.4270232450966486,0.12645243969822914,-0.11328671328671329,28.18181818181818,40.909090909090914,30.909090909090907,27.190675007046238
UFR,top5,110,0.06614453728090093,0.07477166995215125,0.0,0.027777777777777776,0.00862713267125032,0.0,-0.011873197194219922,0.029933258029848926,1093.0,0.4934852601844827,0.07688352969508006,-0.094824016563147,29.09090909090909,37.27272727272727,33.63636363636363,13.042849834466038
CR,bm25,110,0.026876885740522105,0.033955463728191,0.0,0.0,0.007078577987668896,0.0,-0.006783459595959594,0.021211612882067424,258.0,0.6871854806829985,0.09415600790888391,-0.08021390374331551,13.636363636363635,70.0,16.363636363636363,26.337046843922725
CR,chunk3,110,0.026876885740522105,0.046984126984126975,0.0,0.0,0.020107241243604877,0.0,0.003046520398793125,0.03934991145218417,205.5,0.04486519059114177,0.20596537244382976,-0.38288288288288286,11.818181818181818,67.27272727272727,20.909090909090907,74.81239246885406
CR,chunk8,110,0.026876885740522105,0.021908344181071453,0.0,0.0,-0.00496854155945065,0.0,-0.01788120717666172,0.00752336804609532,238.0,0.3083831210219391,-0.07385651558516651,0.2,16.363636363636363,69.0909090909091,14.545454545454545,-18.486299370464693
CR,nocite,110,0.026876885740522105,0.020096813465797423,0.0,0.0,-0.006780072274724681,0.0,-0.018116744218348496,0.004641283664345162,122.5,0.17799248999784345,-0.11183517732109584,0.301994301994302,15.454545454545453,76.36363636363637,8.181818181818182,-25.226405842483494
