tau,E0_UFR_mean,E0_CR_mean,E1_UFR_mean,E1_CR_mean,E2_UFR_mean,E2_CR_mean,p_E1_vs_E0_UFR,delta_E1_vs_E0_UFR,p_E2_vs_E0_UFR,p_E1_vs_E0_CR,delta_E1_vs_E0_CR,p_E2_vs_E0_CR
0.5,0.8109211344211343,0.17205905205905211,0.8069206349206349,0.1299963924963925,0.122,0.09633333333333333,0.9767226549859576,-0.004000499500499505,1.7763568394002505e-15,0.011239201694182887,-0.04206265956265955,0.0025181431630912302
0.6,0.8222241647241646,0.1428842268842269,0.8200569985569985,0.11387662337662338,0.122,0.09633333333333333,0.9953438571993881,-0.0021671661671661714,1.7763568394002505e-15,0.06145116848186699,-0.029007603507603504,0.05383448219454458
0.7,0.8447898212898213,0.1204063714063714,0.8399935064935065,0.1047012987012987,0.122,0.09633333333333333,0.9209707457712855,-0.004796314796314793,1.7763568394002505e-15,0.2584704943991666,-0.01570507270507271,0.2986626109380619
0.8,0.8675625485625486,0.1000073815073815,0.8549379509379509,0.09252453102453102,0.127,0.079,0.6844247571646778,-0.012624597624597627,1.7763568394002505e-15,0.5449946575866313,-0.0074828504828504845,0.4153845336067111
0.9,0.8941938616938616,0.0695982905982906,0.8780901875901875,0.06358658008658008,0.135,0.075,0.5631658600626369,-0.016103674103674113,1.7763568394002505e-15,0.9726817875873176,-0.006011710511710515,0.7986330356569665
