group,judge_metric,n,spearman_rho,spearman_p,pearson_r,pearson_p
all,judge_UFR,210,0.19634057692495077,0.004288591801415411,0.19530129530023824,0.004501484670947228
all,judge_CR,210,0.020456198941349882,0.7682230926210858,0.030799901306123634,0.6572058176277839
generated,judge_UFR,100,0.20451765651139253,0.0412417262627725,0.1653624657929666,0.1001401020519665
generated,judge_CR,100,0.07462800241293333,0.46055861627004735,0.058613380303960017,0.5624117232952605
doctor_written,judge_UFR,110,0.20205325608151445,0.0342743457894116,0.20731404814922066,0.029768468158324384
doctor_written,judge_CR,110,0.05241166717454275,0.586584128180176,0.051765951323682384,0.5912095383422836
