condition,UFR_mean,UFR_median,CR_mean,CR_median,n_claims,n_contradicted,n_not_supported,p_E1_vs_E0_UFR,delta_E1_vs_E0_UFR,p_E1b_vs_E0_UFR,delta_E1b_vs_E0_UFR,p_E2_vs_E0_UFR,delta_E2_vs_E0_UFR,p_E3_vs_E0_UFR,delta_E3_vs_E0_UFR,p_E1_vs_E0_CR,delta_E1_vs_E0_CR,p_E1b_vs_E0_CR,delta_E1b_vs_E0_CR,p_E2_vs_E0_CR,delta_E2_vs_E0_CR,p_E3_vs_E0_CR,delta_E3_vs_E0_CR
E0,0.8148655788655788,0.8257575757575758,0.15634188034188035,0.10555555555555556,522,82,342,0.8169937819342895,-0.0065878010878010936,0.026528077006072306,-0.04652392052392052,1.7763568394002505e-15,-0.7548655788655789,0.0004860050522126938,-0.12606399156399156,0.049681214969768635,-0.03603668553668553,0.541934210146992,-0.01635470085470085,0.0017408762218314076,-0.09634188034188033,0.6153636046575368,0.015602564102564094
E1,0.8082777777777777,0.8,0.12030519480519482,0.11805555555555555,447,54,304,0.8169937819342895,-0.0065878010878010936,0.026528077006072306,-0.04652392052392052,1.7763568394002505e-15,-0.7548655788655789,0.0004860050522126938,-0.12606399156399156,0.049681214969768635,-0.03603668553668553,0.541934210146992,-0.01635470085470085,0.0017408762218314076,-0.09634188034188033,0.6153636046575368,0.015602564102564094
E1b,0.7683416583416584,0.8,0.13998717948717948,0.1111111111111111,510,73,318,0.8169937819342895,-0.0065878010878010936,0.026528077006072306,-0.04652392052392052,1.7763568394002505e-15,-0.7548655788655789,0.0004860050522126938,-0.12606399156399156,0.049681214969768635,-0.03603668553668553,0.541934210146992,-0.01635470085470085,0.0017408762218314076,-0.09634188034188033,0.6153636046575368,0.015602564102564094
E2,0.06,0.0,0.06,0.0,250,15,0,0.8169937819342895,-0.0065878010878010936,0.026528077006072306,-0.04652392052392052,1.7763568394002505e-15,-0.7548655788655789,0.0004860050522126938,-0.12606399156399156,0.049681214969768635,-0.03603668553668553,0.541934210146992,-0.01635470085470085,0.0017408762218314076,-0.09634188034188033,0.6153636046575368,0.015602564102564094
E3,0.6888015873015872,0.7321428571428572,0.17194444444444446,0.16666666666666666,295,51,146,0.8169937819342895,-0.0065878010878010936,0.026528077006072306,-0.04652392052392052,1.7763568394002505e-15,-0.7548655788655789,0.0004860050522126938,-0.12606399156399156,0.049681214969768635,-0.03603668553668553,0.541934210146992,-0.01635470085470085,0.0017408762218314076,-0.09634188034188033,0.6153636046575368,0.015602564102564094
