condition,question,n,abstention_rate,UFR_mean,CR_mean,ref_support_mean,words_mean,judge,tau
QA-E0,follow_up,110,0.14545454545454545,0.35017730496453897,0.017730496453900707,0.11879432624113474,30.163636363636364,deberta_large_nli,0.5
QA-E0,medications,110,0.07272727272727272,0.30310457516339867,0.05457516339869281,0.17679738562091502,41.3,deberta_large_nli,0.5
QA-E0,warning_signs,110,0.4636363636363636,0.8926553672316384,0.01694915254237288,0.11016949152542373,20.445454545454545,deberta_large_nli,0.5
QA-E1,follow_up,110,0.23636363636363636,0.2619047619047619,0.007936507936507936,0.13690476190476192,24.118181818181817,deberta_large_nli,0.5
QA-E1,medications,110,0.1,0.2478114478114478,0.05387205387205387,0.13989898989898988,36.36363636363637,deberta_large_nli,0.5
QA-E1,warning_signs,110,0.6454545454545455,0.7692307692307693,0.02564102564102564,0.08974358974358974,13.681818181818182,deberta_large_nli,0.5
QA-E0,all,330,0.22727272727272727,0.4568627450980392,0.0322875816993464,0.14,30.636363636363637,deberta_large_nli,0.5
QA-E1,all,330,0.32727272727272727,0.34474474474474476,0.03153153153153153,0.12995495495495493,24.721212121212123,deberta_large_nli,0.5
