condition,n_claims,flag_rate_first,flag_rate_second,agreement,kappa,first_flags_confirmed,second_flags_confirmed,UFR_first,UFR_second,UFR_both,UFR_either,second_judge,second_mode,second_tau
E0,1762,0.1345062429057889,0.18161180476730987,0.7883087400681045,0.20792668670473424,0.3881856540084388,0.2875,0.13475090927481131,0.1788834889431446,0.05161125805630143,0.26202314016165446,bespoke_minicheck_7b,top3,0.1
E1,923,0.06392199349945829,0.12784398699891658,0.8364030335861322,0.06740851271688297,0.22033898305084745,0.11016949152542373,0.06614453728090093,0.13352942512033422,0.01457015207015207,0.18510381033108303,bespoke_minicheck_7b,top3,0.1
E1b,1521,0.07034845496383958,0.12491781722550953,0.8533859303090072,0.1748918085906046,0.34579439252336447,0.19473684210526315,0.07218998321939499,0.12669768011316487,0.02460936493690504,0.17427829839565487,bespoke_minicheck_7b,top3,0.1
E2,536,0.055970149253731345,0.0018656716417910447,0.9421641791044776,-0.0036240637835225353,0.0,0.0,0.05636363636363636,0.0030303030303030303,0.0,0.059393939393939395,bespoke_minicheck_7b,top3,0.1
E3,870,0.06321839080459771,0.06436781609195402,0.8862068965517241,0.0473398960292003,0.10909090909090909,0.10714285714285714,0.06951528269710087,0.06909156500065591,0.008116883116883116,0.13048996458087367,bespoke_minicheck_7b,top3,0.1
REF,976,0.29610655737704916,0.32274590163934425,0.7090163934426229,0.31968367882896365,0.5536332179930796,0.5079365079365079,0.28860501871865507,0.3280351088305634,0.16113430761158037,0.45550581993763817,bespoke_minicheck_7b,top3,0.1
all,6588,0.11794171220400729,0.15179113539769276,0.8237704918032787,0.24665011175158635,0.3963963963963964,0.308,0.11982113320568191,0.15166134811540888,0.047188297687255465,0.22429418363383527,bespoke_minicheck_7b,top3,0.1
