k,E0_UFR_mean,E0_UFR_median,E0_CR_mean,E0_CR_median,E1_UFR_mean,E1_UFR_median,E1_CR_mean,E1_CR_median,E1b_UFR_mean,E1b_UFR_median,E1b_CR_mean,E1b_CR_median,E2_UFR_mean,E2_UFR_median,E2_CR_mean,E2_CR_median,E3_UFR_mean,E3_UFR_median,E3_CR_mean,E3_CR_median,p_E1_vs_E0_UFR,delta_E1_vs_E0_UFR,p_E1b_vs_E0_UFR,delta_E1b_vs_E0_UFR,p_E2_vs_E0_UFR,delta_E2_vs_E0_UFR,p_E3_vs_E0_UFR,delta_E3_vs_E0_UFR,p_E1_vs_E0_CR,delta_E1_vs_E0_CR,p_E1b_vs_E0_CR,delta_E1b_vs_E0_CR,p_E2_vs_E0_CR,delta_E2_vs_E0_CR,p_E3_vs_E0_CR,delta_E3_vs_E0_CR,label_agreement_with_stored
1,0.8447210567210567,0.8819444444444444,0.038141414141414136,0.0,0.8232236652236652,0.8571428571428571,0.02190909090909091,0.0,0.8013219558219558,0.8321678321678322,0.04117171717171717,0.0,0.047333333333333324,0.0,0.003333333333333333,0.0,0.7101269841269842,0.75,0.03773015873015873,0.0,0.4946101403795016,-0.021497391497391494,0.06374951765798528,-0.04339910089910091,1.7763568394002505e-15,-0.7973877233877233,0.0001385192143856552,-0.13459407259407258,0.05923018405720241,-0.016232323232323233,0.576539620098023,0.0030303030303030316,0.002028205937616604,-0.03480808080808081,0.903470193504344,-0.0004112554112554129,
3,0.8109211344211343,0.8181818181818182,0.17205905205905211,0.17424242424242425,0.8069206349206349,0.8285714285714285,0.1299963924963925,0.1111111111111111,0.7585980685980686,0.7777777777777778,0.14789987789987788,0.1111111111111111,0.122,0.0,0.09633333333333333,0.0,0.6883253968253967,0.7321428571428572,0.1635079365079365,0.16666666666666666,0.9767226549859576,-0.004000499500499505,0.019614387909003755,-0.05232306582306581,1.7763568394002505e-15,-0.6889211344211345,0.000496419171130438,-0.12259573759573758,0.011239201694182887,-0.04206265956265955,0.3069420171640014,-0.024159174159174165,0.0025181431630912302,-0.0757257187257187,0.9129857201810176,-0.008551115551115554,1.0
5,0.799608003108003,0.8,0.25000155400155405,0.26136363636363635,0.8082842712842713,0.8571428571428571,0.19236940836940838,0.18181818181818182,0.7722476412476412,0.8090909090909091,0.23233849483849484,0.2222222222222222,0.19700000000000004,0.2,0.17133333333333334,0.2,0.688547619047619,0.7321428571428572,0.24399206349206348,0.2361111111111111,0.7638082687115613,0.008676268176268173,0.250824481730346,-0.027360361860361854,1.7763568394002505e-15,-0.6026080031080031,0.0010610900987898318,-0.11106038406038404,0.01696279674849289,-0.05763214563214562,0.20816322070661097,-0.01766305916305916,0.0008548800493346704,-0.07866822066822066,0.6240113979441282,-0.006009490509490509,
