group,n_summaries,n_sentences,expert_flag_rate,judge_UFR,judge_CR,any_tp,any_fp,any_fn,any_tn,any_precision,any_recall,any_specificity,any_f1,any_accuracy,any_balanced_accuracy,any_kappa,contra_tp,contra_fp,contra_fn,contra_tn,contra_precision,contra_recall,contra_specificity,contra_f1,contra_accuracy,contra_balanced_accuracy,contra_kappa,auroc_1_minus_p_entail,auroc_p_contra
all,210,1781,0.2038180797304885,0.8405390230207749,0.28972487366647953,342,1155,21,263,0.22845691382765532,0.9421487603305785,0.1854724964739069,0.36774193548387096,0.33969679955081417,0.5638106284022427,0.05902585902478075,122,394,241,1024,0.2364341085271318,0.33608815426997246,0.7221438645980254,0.2775881683731513,0.643458731049972,0.529116009433999,0.050339118116557335,0.6544263639083489,0.5196295562368136
generated,100,805,0.12546583850931678,0.8372670807453416,0.3018633540372671,97,577,4,127,0.14391691394658754,0.9603960396039604,0.18039772727272727,0.25032258064516133,0.2782608695652174,0.5703968834383438,0.04105165389654453,35,208,66,496,0.1440329218106996,0.3465346534653465,0.7045454545454546,0.20348837209302326,0.6596273291925466,0.5255400540054005,0.03188286208379787,0.6820572682268227,0.5024682155715572
doctor_written,110,976,0.26844262295081966,0.8432377049180327,0.2797131147540984,245,578,17,136,0.2976913730255164,0.9351145038167938,0.19047619047619047,0.45161290322580644,0.39036885245901637,0.5627953471464922,0.07485646192178519,87,186,175,528,0.31868131868131866,0.3320610687022901,0.7394957983193278,0.3252336448598131,0.6301229508196722,0.5357784335108089,0.07061839897865518,0.6632240682532555,0.524918746124404
llama_70b_original,20,159,0.2641509433962264,0.8301886792452831,0.31446540880503143,40,92,2,25,0.30303030303030304,0.9523809523809523,0.21367521367521367,0.45977011494252873,0.4088050314465409,0.583028083028083,0.09844372059355777,18,32,24,85,0.36,0.42857142857142855,0.7264957264957265,0.391304347826087,0.6477987421383647,0.5775335775335775,0.14614499424626004,0.6715506715506716,0.5667480667480667
llama_70b_cleaned,20,176,0.1590909090909091,0.7727272727272727,0.3181818181818182,27,109,1,39,0.19852941176470587,0.9642857142857143,0.2635135135135135,0.3292682926829268,0.375,0.6138996138996139,0.08885542168674698,9,47,19,101,0.16071428571428573,0.32142857142857145,0.6824324324324325,0.2142857142857143,0.625,0.5019305019305019,0.0027472527472528485,0.7671332046332047,0.45692567567567566
gpt4_zero_shot,20,151,0.059602649006622516,0.8741721854304636,0.2847682119205298,8,124,1,18,0.06060606060606061,0.8888888888888888,0.1267605633802817,0.11347517730496455,0.17218543046357615,0.5078247261345853,0.0021147237642082928,3,40,6,102,0.06976744186046512,0.3333333333333333,0.7183098591549296,0.11538461538461539,0.695364238410596,0.5258215962441315,0.018649335970613246,0.5019561815336464,0.4820031298904538
gpt4_orig,20,158,0.08860759493670886,0.8607594936708861,0.27848101265822783,14,122,0,22,0.10294117647058823,1.0,0.1527777777777778,0.18666666666666665,0.22784810126582278,0.5763888888888888,0.030967223004222943,3,41,11,103,0.06818181818181818,0.21428571428571427,0.7152777777777778,0.10344827586206896,0.6708860759493671,0.46478174603174605,-0.03580433686333828,0.7899305555555556,0.3990575396825397
gpt4_cleaned,20,161,0.049689440993788817,0.8571428571428571,0.3105590062111801,8,130,0,23,0.057971014492753624,1.0,0.1503267973856209,0.1095890410958904,0.19254658385093168,0.5751633986928104,0.017278617710583144,2,48,6,105,0.04,0.25,0.6862745098039216,0.06896551724137932,0.6645962732919255,0.4681372549019608,-0.01827125790583284,0.7651143790849673,0.4820261437908497
