Metric,E0_Mean,E0_Std,E0_Median,E1_Mean,E1_Std,E1_Median,E2_Mean,E2_Std,E2_Median,Delta_Mean,Delta_Std,Pct_Improved,p_E1_vs_E0,CI95_E1_vs_E0,E2_Delta_Mean,E2_Delta_Std,E2_Pct_Improved,p_E2_vs_E0,CI95_E2_vs_E0,p_E2_vs_E1
UFR,0.8109,0.1452,0.8182,0.8069,0.1712,0.8286,0.122,0.1639,0.0,-0.004,0.1658,38.0,0.9767226549859576,"[-0.0495, +0.0414]",-0.6889,0.1914,100.0,1.7763568394002505e-15,"[-0.7406, -0.6351]",1.7763568394002505e-15
CR,0.1721,0.1144,0.1742,0.13,0.1202,0.1111,0.0963,0.1521,0.0,-0.0421,0.1244,64.0,0.011239201694182887,"[-0.0755, -0.0069]",-0.0757,0.185,66.0,0.0025181431630912302,"[-0.1240, -0.0221]",0.08385861842350244
